s.no,code,product_name,brands,energy-kcal_value,sugars_value,carbohydrates_value,sugar_to_carb_ratio
1777,3.60E+12,Tipiak Graine Parfumé,Tipiak,231,2.1,45,0.046666667
1778,8.71E+12,Ванилов сладолед с парчета бисквити с шоколадов чипс и шоколадови парчета,Ben & Jerry's,273,25,31,0.806451613
1779,8.41E+12,Galletas María sin azúcares.,Gullón,408,0.5,75,0.006666667
1780,3.07E+12,Chicoree liquide 250 ml,Leroux,238,35,53,0.660377358
1781,5.41E+12,soya Vanille,Alpro,57,6.7,6.7,1
1782,3.06E+12,"BN - Strawberry Cookies, 285g (10oz)",BN,398,32,75,0.426666667
1783,3.12E+12,PET 1.2L MAYTEA MENTHE,May Tea,14,3.3,3.3,1
1784,3.23E+12,le Brie,Président,347,0.5,0.5,1
1785,6.13E+12,L'ben,Soummam,40.13,0,3.62,0
1786,9.35E+12,Vegemite,"Sainsbury's, Sainsburys Taste the Difference Taste the difference",174,2.4,11.1,0.216216216
1787,6163826,Complet au sarrasin,Gerblé,224,4.2,33,0.127272727
1788,5.06E+12,Black Beans in Water,Tesco,110,0.5,15.1,0.033112583
1789,5.00E+12,Batchelors : Mushy Original,Batchelors,88,1.4,13.1,0.106870229
1790,5.01E+12,Strawberry Bio Live Yoghurt,Yeo Valley,98,10.7,10.9,0.981651376
1791,5.02E+12,Wholemeal Bagels,New York Bakery Co.,252,6.4,44.9,0.142538976
1792,5.05E+12,Rosemary & Sea Salt Thins,Ryvita,27.02,0.2,4.802,0.041649313
1793,5.00E+12,Oven Baked Sea Salt Crisps,Walkers,96,1.2,16,0.075
1794,282123,Authentic Greek Yoghurt,Taste The Difference,137,3.2,4.1,0.780487805
1795,4.09E+12,Coconut milk,Aldi,171,2,3.3,0.606060606
1796,5.06E+12,Pizza Base with Tomato Sauce,Crosta & mollica,227,4.2,41,0.102439024
1797,5.00E+12,bisto,Bisto,6,0.5,1.6,0.3125
1798,5.00E+12,Snack a Jacks Zingy Salt & Vinegar 117g,SnackaJacks,43,0.1,8.2,0.012195122
1799,4.09E+12,CIABATTA ROLLS,Aldi,267,2.8,49.4,0.056680162
1800,4.06E+12,Ketchup,Batts,99,19.3,21.6,0.893518519
1801,3.23E+12,100% mie,Harrys,266,7.7,48,0.160416667
1802,3.02E+12,La Barquette (chocolat),LU,489,47,62,0.758064516
1803,20023775,Taboulé à l’orientale,Saladinettes,183,5.4,25,0.216
1804,7.61E+12,Le Classique Soja et Blé,"Nestlé, Garden gourmet",191,3.2,4,0.8
1805,3.07E+12,Bulles de fruits Pamplemousse Touche de citron,Badoit,21,4.9,4.9,1
1806,20163402,Tomaten passiert,"Baresa, Baresa/Lidl, Lidl",25,3.8,3.8,1
1807,8.72E+12,Amora Sauce Burger 260g,Amora,240,6.9,11,0.627272727
1808,3.12E+12,Oasis tropical,"Oasis,Oasis Tropical",28,6.6,6.6,1
1809,3.57E+12,BRANDADE DE MORUE,Briau,156,0.3,10.1,0.02970297
1810,3.01E+12,Bonbon à la Sève de Pin,"La Vosgienne, Mondelez",390,74,97.5,0.758974359
1811,5.05E+12,Céréales Trésor Kellogg's Chocolat Noisettes - 1kg,Kellogg's,456,26,69,0.376811594
1812,8.41E+12,Digestive Muesli,Gullón,462,21,64,0.328125
1813,4.00E+12,Philadelphia 200g,"Mondelez, Mondelēz International, Philadelphia, Philadelphia - Mondelēz International",226,4.3,4.3,1
1814,3.76E+12,10 Pains au lait frais sans sucres ajoutés 350g,la boulangère,324,4.6,47,0.09787234
1815,3.17E+12,Pomme de terre nature,"Lay's, Lays",540,0.5,54,0.009259259
1816,5.41E+12,Soya Wholebean Unsweetened Drink U.H.T.,Alpro,33,0,0,0
1817,8.71E+12,Wholegrain Mustard,Maille,176,6,9.4,0.638297872
1818,6.41E+12,Protein strawberry,Arla,72,6.3,6.6,0.954545455
1819,4.09E+12,Scottish Rough Oatcakes,Savour Bakes,447,1.4,58,0.024137931
1820,5.01E+12,Shredded Wheat,Nestlé,387,15,68,0.220588235
1821,5.01E+12,Plant Power Sliced Wholemeal Bread,Warburtons,259,3.1,35.1,0.088319088
1822,1504972,Full Fat Soft Cheese,Sainsbury's,255,3.1,3.1,1
1823,6.11E+12,itri choco,Excelo,449,35,70,0.5
1824,6.11E+12,FRUT MAX,MARRAKECH,38,7.9,9.5,0.831578947
1825,6.11E+12,Delfy,delfy,180.1,11.1429842,0.6,0
1826,6.11E+12,6.11E+12,,0,0,0,0
1827,3.34E+12,Curly cacahuete,"Curly, Vico",461,1.5,54,0.027777778
1828,20884680,Bio Reiswaffeln mit Salz,"Lidl, Sondey",390.0573613,0.4,79,0.005063291
1829,3.70E+12,Sucre Cmplet Muscovado,Alter Eco,394,95,98,0.969387755
1830,7.61E+12,,Nescafe,54,7.1,9.4,0.755319149
1831,8.48E+12,Muesli Frutas,"Hacendado, Mercadona",361,15,59,0.254237288
1832,3.17E+12,Filets de Sardines Citron Basilic,Saupiquet,147,0.5,0.5,1
1833,3.12E+12,Oasis Pomme Cassis Framboise,Oasis,34,8,8.1,0.987654321
1834,3.23E+12,Muesli,Bjorg,352,14,59,0.237288136
1835,5.00E+12,M&M's Cacahuètes - Pack familial,"M&M's, Mars",524,53,59,0.898305085
1836,4.01E+12,Räuchertofu Mandel-Sesam,taifun,198,0.5,1.5,0.333333333
1837,8.41E+12,Original,ColaCao,378,70,78,0.897435897
1838,75041670,Extra,Corona,42,3.3,4,0.825
1839,3.12E+12,"PET 1,5L SCHWEPPES AGRUMES",Schweppes,19,4.4,4.5,0.977777778
1840,4.06E+12,Simply porridge oats,Lidl,147,0.4,22.4,0.017857143
1841,5.04E+12,"Kefir, Mango and Passion Fruit",Yeo Valley,81,9.7,11.6,0.836206897
1842,3.17E+12,Chips nature,"Lay's, Lays",508,0.5,53,0.009433962
1843,20114329,all butter shortbread fingers,Tower Gate,90,2.4,10.4,0.230769231
1844,4.09E+12,TORTILLA WRAPS WHOLEMEAL,VILLAGE BAKERY,307.1428571,1.071428571,41.25,0.025974026
1845,8.41E+12,Crunchy Avoine & Fruits Rouge 5 x 42 g,Nature Valley,190,12.7,27.2,0.466911765
1846,5.02E+12,Belvoir Farm,Ginger Cordial,130,33.3,33.3,1
1847,8.00E+12,Rana spinach and ricotta fresh tortelloni,Rana,376,6.125,51,0.120098039
1848,6.11E+12,Thon à l'huile végétale,,321,0.5,0.5,1
1849,5.71E+12,Nordic Oat Drink,Arla,47,3,7.1,0.422535211
1850,3.04E+12,Tomacouli,Panzani,27,3.9,4.5,0.866666667
1851,3.61E+12,Compote Pomme Nature,Andros,55,12,12,1
1852,20245900,Jus d'orange sans pulpe,Solevita,42,9,9,1
1853,20840273,Brioche tranchée,Maître Jean Pierre,357,10.1,53.2,0.189849624
1854,7.31E+12,Krisprolls,Pagen,397,7,70,0.1
1855,3.02E+12,Skyr vanille,Siggi's,120,10.8,11.8,0.915254237
1856,8.71E+12,Amora Sauce Crudites Nature,Amora,255,2.4,4.9,0.489795918
1857,3.06E+12,Petits coeurs chocolat,"Kraft Foods, LU, Mondelez",507,29,63,0.46031746
1858,8.41E+12,Sauce apéritif Guacamole,Old el paso,77,3,9.5,0.315789474
1859,8.42E+12,Gazpacho Original,"Alvalle, PepsiCo",42,3.3,3.5,0.942857143
1860,3.47E+12,SABLES PUR BEURRE,La Mere Poulard,501,19.6,70,0.28
1861,3.05E+12,Excellence Raspberry,Lindt&Sprüngli,536,47,52,0.903846154
1862,90375323,Coca cola zero,Coca-Cola,0.2,0,0,0
1863,8.48E+12,Gazpacho Tradicional,Hacendado,41,3.4,3.6,0.944444444
1864,8.41E+12,Cookies sin glúten sin azúcares añadidos,Gullón,444,0.7,63,0.011111111
1865,8.48E+12,María Dorada,Hacendado,445,0.7,68,0.010294118
1866,4.06E+12,Tuna Fillets natural from real Skipjack tuna,Nixe,101,11.1429842,0,0
1867,3.60E+12,Croustibat,Findus,196,0.7,16,0.04375
1868,5.06E+12,RUDE Almond Organic Drink imp,Rude health,56,4.7,10,0.47
1869,20878979,Pitted Black Olives in Brine,"Baresa, Lidl",134,0,0,0
1870,7.39E+12,Oatly Semi Oat Drink imp,Oatly,48,3.4,7,0.485714286
1871,87343397,Marmite Reduced Salt,Marmite,271,0.6,29,0.020689655
1872,5.01E+12,Golden syrup,Lyle's,310,77.5,77.5,1
1873,4.09E+12,Mixed Nuts,The Foodie Market,194,1.2,1,1.2
1874,4.09E+12,Superseed Farmhouse,Specially Selected,125.84,1.188,17.644,0.067331671
1875,5.41E+12,Danone ALPRO® Joghurt Soja Natur ungesüßt,ALPRO,42,0,0,0
1876,6.11E+12,Joly,Les Conserveries Marocaines Doha,175.4,0,0.96,0
1877,4.06E+12,6 Wholemeal Pitta Breads,Rowan Hill Bakery,213,2.5,41.1,0.060827251
1878,6.11E+12,Bahia,,0,0,0,0
1879,6.11E+12,Tentation,Aiguebelle,541,0.2,30.3,0.00660066
1880,3.77E+12,La Vie Jambon Végétal,LA VIE,110,0.3,3.2,0.09375
1881,3.02E+12,BelVita Original Petit Déjeuner pépites de chocolat,"LU, belVita",436,16,66,0.242424242
1882,3.61E+12,Framboise Intense,Bonne Maman,171,38,39,0.974358974
1883,3.12E+12,BLE 70CL PULCO CITRON VERT,Pulco,22,0.8,1,0.8
1884,3.42E+12,Flocons d'avoine complets,Terres & Céréales BIO,371,0.9,60,0.015
1885,3.23E+12,Biscuits nappés de chocolat noir,Bjorg,471,21,57,0.368421053
1886,3.60E+12,Meli mélo gourmand,Tipiak,126,1.7,22,0.077272727
1887,10581724,Gemüse Brühwürfel,DmBio,380,3.7,5.1,0.725490196
1888,4.06E+12,Crunchy Muesli Multi Fruit,"Crownfield, Lidl",426,24.1,63.5,0.379527559
1889,3.17E+12,Cannelle moulue,Ducros,257,11.1429842,29.40528301,0
1890,3.56E+12,Sirop d'agave,"Carrefour BIO,Carrefour",300,75,75,1
1891,3.16E+12,Bridélice Crème légère fluide 12%Mat. Gr.,Bridelice,144,4.2,5.6,0.75
1892,8.08E+12,Spaghetti Senza Glutine,Barilla,358,0.5,79,0.006329114
1893,5.06E+12,Berry Delight Bars,Nakd,380,48,57,0.842105263
1894,3.18E+12,Pain grillé,Brioche Pasquier,403,3.3,72,0.045833333
1895,4.06E+12,Grana Padano,Milbona,398,0,0,0
1896,5.00E+12,"Beanz In a Rich Tomato Sauce, Organic",Heinz,82,5.4,13.2,0.409090909
1897,1.20E+12,PET 1L OCEAN SPRAY SANS SUCRE,Ocean Spray,10,1.5,1.5,1
1898,3.09E+12,Zéro Grenadine,Teisseire,11,0.7,3.1,0.225806452
1899,8.45E+12,KitKat Cereal,"Nestlé, Kitkat, Nestle kit kat",420,24.7,69.4,0.355907781
1900,5.00E+12,Walkers Ready Salted Crisps 6pk,Walkers,96,0.1,10,0.01
1901,8.48E+12,Bebida de Soja,Hacendado,35,0.7,0.8,0.875
1902,4.09E+12,Muesli Swiss Style,Harvest Morn,163,5.6,29.1,0.192439863
1903,5.00E+12,POM-BEAR Potato snacks,KP Snacks,66,0.5,7.9,0.063291139
1904,4.09E+12,Greek Style Natural Yogurt,Brooklea,122,3.4,4.3,0.790697674
1905,8.48E+12,Pan de molde blanco natural rústico,Hacendado,265,3.8,47,0.080851064
1906,5.01E+12,Tasty Wholemeal Thick,Hovis,104,1.9,17.8,0.106741573
1907,5.05E+12,Coconut Milk,Tesco,151,1.9,3.2,0.59375
1908,6.11E+12,Ketchup stat 330g,Star,108,22.368,25.7,0.870350195
1909,5.06E+12,SOFT CHEESE,Creamfields,206,3.5,4.6,0.760869565
1910,6.11E+12,Actimel,"Danone,Actimel",74,5,13,0.384615385
1911,8.41E+12,Frutas Mezcladas,Rostoy,53,12.8,12.8,1
1912,6.11E+12,Aiguebelle Mini Chocolate,Aiguebelle,60,11.1429842,5,0
1913,7.70E+11,Sardine à l’huile végétale,Marsa,238.7,11.1429842,1.2,0
1914,3.18E+12,Fourré Cacao sans sucres,Gerblé,456,0.5,64,0.0078125
1915,20842499,Organic Sesame Biscuits,"Biscuiterie De L'Abbaye, Lidl, Sondey",481,20,61,0.327868852
1916,3.39E+12,,"Golden grahams,Nestlé",378,24.5,76.8,0.319010417
1917,3.56E+12,"Fromage blanc au lait demi-écrémé, 3% de Mat. Gr.","Délisse, Marque Repère",69,4,4,1
1918,3.25E+12,Couscous Oriental légumes cuisinés et poulet émincé,"WW, Weight Watchers",91,2.2,11,0.2
1919,3.22E+12,Pack Cassonade Saint Louis 650g,Saint louis,396,99,99,1
1920,20004361,Кисели краставички,Freshona,35,4.5,5.5,0.818181818
1921,5.03E+12,Lentil Chips - Sea Salt Flavour,Eat Real,474,0.6,61.9,0.009693053
1922,5.00E+12,Light Mayonnaise,Heinz,40,0.1,1.2,0.083333333
1923,4.06E+12,Vegetable chips,Deluxe,525,27,40,0.675
1924,6.11E+12,Jus d'orange,Valencia,49,11.2,12,0.933333333
1925,6.11E+12,Bono,Excelo,522,35.5,53.68,0.661326379
1926,8.00E+12,Mon Cherie,Ferrero,455,48.3,52.8,0.914772727
1927,6.11E+12,Aicha Tomate,Aicha,117,9,23.7,0.379746835
1928,6.11E+12,Douceur fromage frais,Chergui,256.44,3,3.1,0.967741935
1929,6.11E+12,Tobigo,,450.72,31.58,63.11,0.500396134
1930,6.11E+12,Eyoo choc,Excelo,494,33,72,0.458333333
1931,4.01E+12,Protein Drink PLUS,Zott,193,11.5,13.75,0.836363636
1932,6.11E+12,Viva,Fromage,246,11.1429842,9,0
1933,6.11E+12,Top Original,Be,469.6,28.72,59.44,0.483176312
1934,3.12E+12,Desperados Original aguardiente,"DESPERADOS, HEINEKEN",57,2.3,5.6,0.410714286
1935,7.62E+12,Heudebert Blé complet,Heudebert,387,7.4,69,0.107246377
1936,8.00E+12,,"Crunch,Nestlé",513,50.4,62.4,0.807692308
1937,8.00E+12,Biscuits Nutella B-ready x15 gaufrettes fourrées,"Ferrero, Nutella B-ready",521,47.1,60.7,0.775947282
1938,7.62E+12,Petit Déjeuner Chocolat,"Belvita,LU,Mondelez",439,27,66,0.409090909
1939,3.42E+12,Muesli croustillant tradition,Terres et Céréales,440,20,68,0.294117647
1940,3.60E+12,tendres perles,Tipiak,356,2.8,72,0.038888889
1941,3.09E+12,Miel de Fleurs BIO liquide Doseur 500g,Lune de miel,320,80,80,1
1942,3.50E+12,Chips saveur Poulet Braisé,Brets,522,0.8,52,0.015384615
1943,3.39E+12,Barres de céréales pour le petit-déjeuner Chocolate⁴,"Fitness,Nestlé",383,17,66,0.257575758
1944,5.45E+12,BTE 33CL SLIM CHERRY COKE,Coca-Cola,43,10.7,10.7,1
1945,3.49E+12,L'original,Ebly,219,0.8,44,0.018181818
1946,8.48E+12,,HACENDADO,416,10,21,0.476190476
1947,3.12E+12,"Delacre - Delichoc Milk Chocolate Cookies, 150g (5.3oz)",Delacre,476,47.9,72.2,0.663434903
1948,7.39E+12,Avena Barista Edition,Oatly,61,3.4,7.1,0.478873239
1949,5.45E+12,Diet Coke,Coca-Cola,1,0,0,0
1950,3.56E+12,Maxi tranches complet,"Carrefour, Carrefour-classic",267,4.8,44,0.109090909
1951,5.06E+12,Raisin Wheats,Kellogg's,359,13,71,0.183098592
1952,5.06E+12,Cocoa Delight,Nakd,390,43,53,0.811320755
1953,8.08E+12,Pesto basilico e pistacchio,Barilla,476,5,13,0.384615385
1954,4.09E+12,Really Nutty Granola,Specially Selected,452,14.6,58.5,0.24957265
1955,5.06E+12,Parmigiano Reggiano & Poppyseed Torinesi Breadsticks,Crosta & Mollica,430,2.6,68,0.038235294
1956,4.06E+12,Cream Crackers,Rivercote,448,1.1,70.9,0.01551481
1957,5.06E+12,Cherry Bakewell Oat Boosts,Graze,131,3.8,14,0.271428571
1958,38317,Greek Yoghurt,M&S,134,3.9,4.2,0.928571429
1959,6.11E+12,Jutos,Jaouda تبارك وتعالى,45,10.7,11.4,0.938596491
1960,6.11E+12,yogo fraise,extra lait,95,35.24,55.14,0.639100472
1961,6.29E+12,Breaksta,Tiffany,68,6,8,0.75
1962,29386574,M&S x Zoe Gut Shot,Marks & Spencer,60,5.6,7.8,0.717948718
1963,5.00E+12,,Snickers,245,25,29.40528301,0
1964,6.11E+12,sauce soja,Star,77,1.8,29.40528301,0
1965,3.33E+12,Câlin,"Calin 0%, Yoplait",61,7.8,7.8,1
1966,5.04E+12,FA-BU-BLEU,Innocent,41,9.3,10,0.93
1967,5.05E+12,Smacks,"Kellogg's, Smacks",377,34,81,0.419753086
1968,3.04E+12,cracotte,lu,389,12,78,0.153846154
1969,3.23E+12,Coulommiers 21%,Président,265,0.5,0.5,1
1970,3.23E+12,Crème de coco légère,Bjorg,174,1.6,5.8,0.275862069
1971,4.06E+12,Compote pommes allégée en sucres,Freshona,71,16,16,1
1972,3.17E+12,Filet de sardine,Saupiquet,307,0,0,0
1973,8.48E+12,Queso Queijo Fresco Batido,Hacendado,46,3.5,3.5,1
1974,3.02E+12,Skyr myrtille,Siggi's,126,11.76,12.6,0.933333333
1975,3.23E+12,Harrys brioche tranchee pepites de chocolat sans additif 485g,Harry's,357,17,50,0.34
1976,3.02E+12,Filets de maquereaux vin blanc et aromates,Petit Navire,155,0.6,0.8,0.75
1977,5.00E+12,Crunchy Nut Corn Flakes Cereal,Kellogg's,119,11,25,0.44
1978,8.72E+12,Pure collagen,ACTION,360,0,0,0
1979,4.06E+12,Hazelnut Flavour Pudding,Milbona,77,4.8,5.8,0.827586207
1980,5.06E+12,Oat barista edition unsweetened,Moma,58,3.6,8.4,0.428571429
1981,8.44E+12,Orangina 50cl,Orangina,43,10.1,10.3,0.980582524
1982,8.50E+11,Beyond Burger,Beyond Meat,196,0.6,5.6,0.107142857
1983,5.00E+12,10 Fish Fingers Omega 3,Birds Eye,232,1,21,0.047619048
1984,6.11E+12,Hot sauce,Star,8,0,1.25,0
1985,8.41E+12,Chocolate Extrafino 80% NOIR 0% azúcares añadidos,trapa,514,1.1,26,0.042307692
1986,8.40E+12,Fresa 0%,Hacendado,40,3.4,11.5,0.295652174
1987,7.39E+12,No Sugars Oat Drink,Oatly,44,0,6.3,0
1988,4.06E+12,Coconut Milk,"Freshona, Lidl",195,2.3,3.2,0.71875
1989,6.11E+12,Crak's,Excelo,498,37.1,58.17,0.6377858
1990,6.11E+12,Oulmes virgin mojito,,48,11.5,11.5,1
1991,6.11E+12,Pâte à tartiner aux noisettes,Mejora,514,61,62,0.983870968
1992,6.11E+12,Yaourt banin,Jaouda,92,9,14.3,0.629370629
1993,6.11E+12,,,287,7,7,1
1994,7.70E+11,Filets De Maquereaux À L’huile Végétale,Marsa,217.2,11.1429842,0.5,0
1995,3.42E+12,Muesli croustillant duo pépites,Terres et céréales bio,433,25,67,0.373134328
1996,3.03E+12,Sticks Bretzels d'Alsace L'original,Dr. Oetker,391,3.2,73,0.043835616
1997,7.62E+12,Prince Goût Tout Choco Au Blé Complet,LU,464,34,67,0.507462687
1998,5.41E+12,Chocolat Noir - l'Original,Côte d'Or,530,53.5,56,0.955357143
1999,3.01E+12,Secret d'arômes plein sud,Knorr,232,19,23,0.826086957
2000,3.66E+12,Poulain,Poulain,77,10.7,10.9,0.981651376
2001,8.59E+12,MAGGI Bouillon KUB BIO Légumes 80g,Maggi,233,15,38,0.394736842
2002,3.18E+12,Biscuit Chocolat Céréales,gerlinea,434,15,56,0.267857143
2003,3.25E+12,"CRISTALINE Eau de Source Pétillante 0,5L",Cristaline,0,0,0,0
2004,7.30E+12,Original,wasa,336,1,62,0.016129032
2005,8.48E+12,Jamón cocido natural,Hacendado,51,0.45,0.45,1
2006,3.18E+12,Biscuits Abricot Pistache,Gerblé,467,16,64,0.25
2007,20202859,,Crownfield,377,24.8,60.5,0.409917355
2008,8.02E+12,Acqua minerale naturale Sant'Anna,Sant'Anna,0,0,0,0
2009,5.45E+12,Original Taste,"Coca Cola,Coke",44,10.9,10.9,1
2010,4.06E+12,fromage à tartiner à l'ail et aux fines herbes,Milbona,288,2.8,3.5,0.8
2011,6.13E+12,Soumam nature,Soummam 25da,48,0,4.28,0
2012,7.62E+12,Филаделфия,"Mondelèz International, Philadelphia",226,4.3,4.3,1
2013,5.00E+12,FRUIT & FIBRE FRUITY CRUNCH,TESCO,367.5,22,75.75,0.290429043
2014,4.00E+12,Ristorante Pizza Mozzarella,Dr. Oetker,244,2.8,23,0.12173913
2015,5.01E+12,Jordans Natural Muesli,Jordans,354,15.8,62.6,0.252396166
2016,50157709,Organic Tomato Ketchup,Heinz,112,24.8,25.3,0.980237154
2017,20425609,Multigrain Hoops,Crownfield,376,17.1,74.6,0.22922252
2018,20952174,Lightly salted tortilla,LIDL,474,1,65.5,0.015267176
2019,40897899,Grissini Breadstick,Rivercote,415,3,71,0.042253521
2020,4.09E+12,Porridge Oat,"Everyday essentials,Aldi",150,0.4,24.1,0.01659751
2021,5.01E+12,Allinson Signature Seeded Bread 650G,,268,2.5,29.3,0.085324232
2022,358149,cornflakes,Sainsbury's,384,4.9,85.1,0.057579318
2023,5.00E+12,White Pittas tesco,Tesco,254,2.4,50.6,0.04743083
2024,5.06E+12,Protein Peanut Butter Bar,N?kd,188.1,12.105,14.985,0.807807808
2025,10595125,Double Trouble Chocolate Cookies,Wicked Kitchen,491,31.1,63.2,0.492088608
2026,5.03E+12,Kefir Yogurt,Graham’s,76,4.3,4.3,1
2027,6.11E+12,Cube De Bouillon - Boeuf (beef) - 8 Cubes,Ideal,210,0,16,0
2028,4.01E+12,Protein drink plus,Zott,77,4.6,5.1,0.901960784
2029,3.56E+12,Lait demi-écrémé,"Délisse, Marque Repère, Scamark (Filiale E. Leclerc)",46,4.8,4.8,1
2030,3.46E+12,Pur jus de citron,"Jardin bio, Léa Nature",31,1.7,1.7,1
2031,8.08E+12,Pâtes linguine collezione 500g,Barilla,359,3.5,71,0.049295775
2032,3.23E+12,Superlevure,"Bjorg et Cie, Gayelord Hauser",349,1,19,0.052631579
2033,3.33E+12,Petit Yoplait,"Petit yoplait std, Yoplait",87,4.1,4.1,1
2034,5.01E+12,Swiss Style Muesli,Alpen,210,7,39,0.179487179
2035,3.45E+12,La Crème Entière De Normandie 30%MG,Elle & Vire,292,3.2,3.2,1
2036,5.05E+12,Céréales trésor - chocolat au lait,Kellogg's,448,25,71,0.352112676
2037,3.76E+12,Bouillon cube Légumes sans sel sans gluten,"Jardin Bio, Jardin biologique, Léa Nature",9,0.4,0.9,0.444444444
2038,8.48E+12,Tomate frito,Hacendado,81,7.2,11.6,0.620689655
2039,5.41E+12,"Alpro Fermentiertes Kokosnussprodukt, Natur, Absolutely 350g",alpro,84,0.6,6,0.1
2040,3.02E+12,Filet de maquereaux saveur moutarde à l'ancienne,Petit Navire,211,0.4,1.2,0.333333333
2041,8.48E+12,Havarti cremoso,HACENDADO,396,0.5,1.3,0.384615385
2042,7.61E+12,Lion cereal with caramel and chocolate,Nestlé,405,24.5,73.1,0.335157319
2043,3.10E+12,300G DRAGIBUS SOFT HARIBO,Haribo,369,56,92,0.608695652
2044,20126391,"Kefir 1,5%",Pilos,46,4.7,4.7,1
2045,5.06E+12,Kelloggs Fruit & Fibre 700g,Kellogg's,408,23,78,0.294871795
2046,8.48E+12,Kéfir natural,Hacendado,36,0,4.8,0
2047,8.48E+12,Bebida de Almendras Enriquecida con Calcio y Vitaminas,Hacendado,36,3.5,3.7,0.945945946
2048,3.60E+12,Epinards hachés à la crème fraîche,Findus,78,1.4,5.3,0.264150943
2049,8.45E+12,Shreddies,Nestlé,364,12.5,70.4,0.177556818
2050,5.02E+12,Organic Swiss Vegetable Vegan Bouillon Powder,Marigold,250,4.6,50.1,0.091816367
2051,5.01E+12,Golden  Syrup,Lyle’s,31.7,7.9,7.9,1
2052,5.06E+12,mutigrain brown,jacksons,111,1.2,20,0.06
2053,5.01E+12,Medium Sliced Soft White Bread,Warburtons,244,3,46.4,0.064655172
2054,8.48E+12,Pechuga pavo  finas lonchas,"Casa Tarradellas, hacendado",76,1.3,1.3,1
2055,4.09E+12,Ancient Grains Farmhouse Bread,"Aldi,Specially Selected",235,3.1,43,0.072093023
2056,5.06E+12,Chicken italia chipolatas,Heck,68,0.5,2.101,0.237981913
2057,5.01E+12,Danish Lighter White Bread,Warburtons,62,0.7,11.9,0.058823529
2058,7.62E+12,Dairy Milk,Cadbury,107,11,11,1
2059,4.09E+12,Very Berry Granola,Specially Selected,188,7.3,29,0.251724138
2060,1789621,Runny Honey,Sainsbury's,329,80.8,81.5,0.991411043
2061,392730,Ugandan dark chocolate,"Sainsburys,Sainsbury's",130,2.1,4.1,0.512195122
2062,5.01E+12,Sea Salt & Cider Vinegar Veggie Cakes,Kallø,40,0.1,4.7,0.021276596
2063,3.34E+12,TAM THON,,231,0,0,0
2064,8.00E+12,mozzarella,Galbani,220,1,2,0.5
2065,7.31E+12,"Golden Wheat Swedish Krisprolls, 7.9oz (225g)",Pagen,432,9.5,73,0.130136986
2066,3.56E+12,Emmental râpé,"Marque Repère, Les Croisés, Scamark (Filiale E. Leclerc)",371,0.5,0.5,1
2067,3.18E+12,Gâteau marbré au chocolat,bonne maman,454,27,44,0.613636364
2068,8.48E+12,Atún claro al natural,Hacendado,98,0.5,0.9,0.555555556
2069,80895237,Нутела,Ferrero,539,56.3,57.5,0.979130435
2070,7.61E+12,NESTLE DESSERT Pâte à tartiner 340g,"Nestlé, NESTLE DESSERT",544,52,53,0.981132075
2071,3.56E+12,Le pain aux Céréales,Carrefour,253,2.3,36,0.063888889
2072,3.27E+12,Vinaigre de cidre bio,Carrefour BioCarrefour,0,0,1,0
2073,8.48E+12,Muesli Crunchy Chocolate,Hacendado,434,24,61,0.393442623
2074,4.01E+12,Filets de tofu à la japonaise,Taifun,205,0.3,2.4,0.125
2075,8.41E+12,Digestive Choco,Gullón,449,0.5,63,0.007936508
2076,8.01E+12,Corn Flakes,Kellogg's,378,8,84,0.095238095
2077,3.30E+12,"Parmentier de saumon, sauce ricotta épinards",Fleury Michon,130,1.5,9.5,0.157894737
2078,8.41E+12,Limonada natural,Don Simón,23,5.6,5.6,1
2079,3.23E+12,Avoine sans sucre,Bjorg,29,0.5,4.5,0.111111111
2080,4.06E+12,Cracker épeautre et 3 graines,MAÎTRE JEAN PIERRE,460,2.3,48,0.047916667
2081,3.15E+12,HERTA Lardons fumés conservation sans nitrite - 2x75g,Herta,239,0,0,0
2082,5.01E+12,"Weetabix, Crunchy Bran",Weetabix,351,14,54,0.259259259
2083,5.05E+12,Rice crispies multigrain shapes,Kellogg's,119,4.5,25,0.18
2084,50147311,Colman's Mustard imp,Colman's,195,13,13,1
2085,5.00E+12,Scottish Oats,Tesco,370,1,59.6,0.016778523
2086,5.05E+12,Bran Flakes,Kellogg's,358,14,65,0.215384615
2087,5.00E+12,Melts Cheese,Carr's,493,8,59.6,0.134228188
2088,4.06E+12,Muesli Crunchy,"Crownfield, Lidl",445,16,62,0.258064516
2089,8.73E+12,REFRIED BEANS,Old El Paso,86,0.5,12.2,0.040983607
2090,5.01E+12,Ready brek original,Ready brek,112.2,0.3,17.4,0.017241379
2091,5.04E+12,Super Thick Kerned Yogurt,Yeo Valley,95,3.5,3.5,1
2092,4.06E+12,Oat Milk,Actileaf,123,11.5,18,0.638888889
2093,6.11E+12,Napolitain noir,Aiguebelle,507,28,33,0.848484848
2094,3.05E+12,Bonne Maman Strawberry And Wild Strawberry 370G,Bonne Maman,241,59,59,1
2095,6.11E+12,Zahra Bayane,linea,32,0,0,0
2096,6.11E+12,Juice,Chergui,54.6,10.48,12.1,0.866115702
2097,19101,Shortbread All Butter Fingers,Sainsbury's,525,14.8,60.5,0.244628099
2098,8.41E+12,Cheetos Sticks Palitos,Cheetos,518,4.8,56.2,0.085409253
2099,5.06E+12,superloaf,modern baker,97,0.5,13,0.038461538
