s.no,code,product_name,brands,energy-kcal_value,sugars_value,carbohydrates_value,sugar_to_carb_ratio
293,3.18E+12,Biscuit soja orange,Gerblé,444,18,66,0.272727273
294,5.00E+12,Sablés Anglais L'Original,"McVitie's,United Biscuits",483,15.1,63.6,0.237421384
295,16811207,petit déjeuner miel et pépites de chocolat,belvita,409,26,60,0.433333333
296,1318180,Multiseed Wholemeal Farmhouse Loaf,"Sainsbury's, Taste the difference",270,4.2,34.2,0.122807018
297,3.23E+12,P'tit Nature Complet,Bjorg,416,20,70,0.285714286
298,3.07E+12,Eau minérale naturelle,Evian,0,0,0,0
299,7.39E+12,Haferdrink Barista,Oatly,61,3.4,7.1,0.478873239
300,3.05E+12,Excellence À la Pointe de Fleur de Sel Noir,Lindt,529,48,50,0.96
301,3.02E+12,Pâte à tartiner Nutella noisettes et cacao - 750g,Ferrero,539,56.3,57.5,0.979130435
302,8.08E+12,Spaghetti No: 5,"Barilla, BARILLA NORGE AS",359,3.5,71,0.049295775
303,3.05E+12,Excellence Noir Corsé 78% Cacao,Lindt,114.0057361,3.4,4.8,0.708333333
304,4.01E+12,Cacao en Poudre Non Sucré,Van Houten,379,0.9,11,0.081818182
305,3.12E+12,PET 2L OASIS TROPICAL,"Oasis,Orangina Schweppes France",28,6.6,6.6,1
306,5.05E+12,Картофельные чипсы со вкусом парики,pringles,522,3.2,54,0.059259259
307,6.11E+12,Press up,,54,5.5,13,0.423076923
308,3.23E+12,Brioche moins de sucre,Harrys,327,9.3,45.1,0.206208426
309,6.11E+12,Danette chklat,Danette,135,19.79999924,19.79999924,1
310,3.66E+12,Pâte à tartiner,Poulain,522,59,60,0.983333333
311,5.06E+12,White Sourdough,Tesco Finest,238,2.7,43.4,0.062211982
312,6.11E+12,double zéro Cerise,Danone,48.3,0,8.23,0
313,8.72E+12,Tomato Ketchup BIO,Heinz,112,24.8,25.3,0.980237154
314,5.45E+12,Sprite,Sprite,34,8.3,8.3,1
315,6.11E+12,Efor vinaigre de table blanc,efor,0.88,0,0.15,0
316,3.30E+12,Les tranches Végé - lentilles corail,Fleury Michon,143,0.5,11,0.045454545
317,3.76E+12,Pain de mie Bio grandes tranches céréales & graines 500g,La Boulangère,301,5.6,46,0.12173913
318,8.41E+12,Atun,Isabel,198,0,0,0
319,3.17E+12,Flocons d'avoine complète,Quaker,375,1.1,60,0.018333333
320,3.02E+12,Pain grillé au blé complet,LU Pelletier,387,2.6,71,0.036619718
321,3.27E+12,St Môret,St Môret,205,3,3,1
